@relation primaryAction

@attribute one_field_invoked_or_written {true,false}
@attribute is_constructor {true,false}
@attribute returns_boolean {true,false}
@attribute num_param_reads numeric
@attribute num_field_reads numeric
@attribute num_field_writes numeric
@attribute primaryAction {compute,compare,set,test,get,create,methodName,convert}

@data
true,true,false,1,0,1,create
true,true,false,12,0,1,create
false,true,false,2,0,0,create
true,true,false,0,0,1,create
true,true,false,2,0,1,create
true,true,false,1,0,1,create
false,true,false,5,0,2,create
false,true,false,1,0,0,create
true,true,false,2,0,1,create
true,true,false,2,0,1,create
false,false,false,12,0,0,methodName
true,false,false,0,1,1,methodName
false,false,false,1,2,2,methodName
false,false,true,3,2,4,methodName
false,false,false,1,0,0,methodName
false,false,false,0,1,0,methodName
false,false,true,1,1,0,methodName
false,false,false,1,2,2,methodName
false,false,true,1,0,0,methodName
false,false,true,1,2,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,0,0,0,methodName
false,false,false,2,1,2,methodName
false,false,false,0,1,0,methodName
false,false,false,5,1,0,methodName
false,false,false,0,0,0,methodName
false,false,false,3,1,2,methodName
false,false,true,1,0,0,methodName
false,false,false,0,1,4,methodName
false,false,true,1,2,0,methodName
false,false,false,1,0,0,methodName
true,false,false,3,1,1,methodName
false,false,true,1,0,0,methodName
false,false,true,1,0,0,methodName
false,false,true,1,0,0,methodName
false,false,false,2,1,2,methodName
false,false,true,1,0,0,methodName
false,false,false,0,0,0,methodName
false,false,false,4,0,0,methodName
false,false,false,3,0,0,methodName
true,false,false,0,1,1,methodName
false,false,false,0,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
true,false,false,0,0,0,methodName
true,false,true,2,2,0,methodName
true,false,false,0,1,0,methodName
false,false,false,0,2,0,methodName
true,false,true,0,1,0,methodName
false,false,false,1,0,0,methodName
false,false,false,8,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,6,0,0,methodName
false,false,false,6,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,0,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,0,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
true,false,false,7,4,1,methodName
false,false,false,1,0,0,methodName
false,false,false,0,2,0,methodName
false,false,false,0,3,0,methodName
false,false,false,0,2,0,methodName
false,false,false,0,2,0,methodName
false,false,false,0,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,3,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,0,2,0,methodName
false,false,false,1,2,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,2,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,2,0,methodName
false,false,false,1,0,0,methodName
false,false,false,1,0,0,methodName
false,false,false,2,0,0,methodName
false,false,false,0,2,0,methodName
false,false,false,4,0,0,methodName
false,false,false,4,0,0,methodName
false,false,false,0,0,0,methodName
true,false,false,1,0,1,methodName
false,false,false,0,0,0,methodName
true,false,false,0,0,0,methodName
false,false,false,3,1,0,methodName
true,false,false,18,1,0,methodName
true,false,false,0,1,1,methodName
false,false,false,0,1,0,methodName
false,false,false,0,17,40,methodName
true,false,false,0,0,3,methodName
false,false,false,0,2,0,convert
true,false,false,4,4,2,convert
false,false,false,6,11,0,convert
false,true,false,1,0,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
false,true,false,10,2,6,convert
false,false,false,0,0,0,convert
false,false,false,8,1,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
true,false,false,3,4,1,convert
true,false,false,3,4,1,convert
false,false,false,0,0,0,convert
false,false,false,0,3,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
false,false,false,0,1,0,convert
true,false,false,0,0,0,convert
false,false,false,0,0,0,convert
false,false,false,0,0,0,convert
true,false,false,0,0,0,convert
false,false,false,0,9,4,convert
